name,name_clean,text,text_length,label,label_encoded,has_image,image_name
Wheel Chairs & Crutches,wheel chairs & crutches,download app now medicine heart,5,heart,0,True,heart\wheel_chairs_crutches_1.jpg
Face Masks & Gloves,face masks & gloves,face masks download app now medicine heart,7,heart,0,True,heart\face_masks_gloves_1.jpg
Compression& Hosier,compression& hosier,download app now medicine heart,5,heart,0,True,heart\compression_hosier_1.jpg
Blood Pressure Monitors,blood pressure monitors,blood download app now medicine heart,6,heart,0,True,heart\blood_pressure_monitors_1.jpg
Alcohol & Sanitizers,alcohol & sanitizers,download app now medicine heart,5,heart,0,True,heart\alcohol_sanitizers_1.jpg
Diabetes Care,diabetes care,care download app now medicine heart,6,heart,0,True,heart\diabetes_care_1.jpg
Braces & Supports,braces & supports,download app now medicine heart,5,heart,0,True,heart\braces_supports_1.jpg
Comfort & Relaxation,comfort & relaxation,download app now medicine heart,5,heart,0,True,heart\comfort_relaxation_1.jpg
Pulse Oximeters,pulse oximeters,download app now medicine heart,5,heart,0,True,heart\pulse_oximeters_1.jpg
Insoles & Foot Health,insoles & foot health,foot health download app now medicine heart,7,heart,0,True,heart\insoles_foot_health_1.jpg
Fitness & Slimming,fitness & slimming,fitness download app now medicine heart,6,heart,0,True,heart\fitness_slimming_1.jpg
"Tola (Oil Replac.150Ml+H.lot.120Ml+Anti-Dand.sh.2*80Ml) #

549
EGP","tola (oil replac.+h.lot.+anti-dand.sh.2*) #

549
egp",oil anti download app now medicine heart,7,heart,0,True,heart\tola_oil_replac150mlhlot120mlanti_dandsh280ml_549_egp_1.jpg
